time,open,high,low,close,tick_volume,spread,real_volume
2022-10-26,20163.83,21014.8,19985.01,20746.66,238132,900,0
2022-10-27,20730.91,20901.18,20235.93,20413.36,211373,900,0
2022-10-28,20371.54,20742.95,19980.26,20637.95,210770,900,0
2022-10-29,20637.43,21072.95,20550.91,20855.88,120109,900,0
2022-10-30,20835.64,20926.61,20547.51,20697.51,121771,900,0
2022-10-31,20698.08,20832.91,20225.98,20410.38,206252,900,0
2022-11-01,20400.84,20681.58,20316.75,20466.28,167277,900,0
2022-11-02,20455.9,20797.28,20090.88,20193.66,184731,900,0
2022-11-03,20145.21,20389.27,20026.86,20233.71,171113,900,0
2022-11-04,20232.18,21294.83,20150.96,21111.23,171893,900,0
2022-11-05,21076.58,21470.76,21053.37,21345.13,120679,900,0
2022-11-06,21317.4,21357.53,21112.71,21116.26,125375,900,0
2022-11-07,21122.85,21170.97,20578.78,20686.63,183530,900,0
2022-11-08,20628.68,20672.89,16884.66,18645.75,336667,900,0
2022-11-09,18582.94,18688.28,15577.03,15709.16,311344,900,0
2022-11-10,15788.78,18121.99,15531.26,17661.0,298538,900,0
2022-11-11,17699.75,17807.95,16323.18,16794.45,266480,900,0
2022-11-12,16750.93,17076.75,16588.27,16789.25,142029,900,0
2022-11-13,16793.75,16921.75,16209.32,16381.75,115016,900,0
2022-11-14,16311.88,17156.81,15783.5,16372.75,186609,900,0
2022-11-15,16391.75,17097.89,16317.88,16895.75,357231,900,0
2022-11-16,16854.13,16987.65,16353.25,16517.84,265688,900,0
2022-11-17,16525.75,16744.74,16396.25,16681.09,226189,900,0
2022-11-18,16664.25,16982.84,16530.75,16635.0,158976,900,0
2022-11-19,16601.19,16702.5,16530.5,16648.25,74254,900,0
2022-11-20,16737.44,16756.0,16226.51,16256.92,162785,900,0
2022-11-21,16262.09,16329.25,15444.42,15595.5,213510,900,0
2022-11-22,15607.92,16290.5,15593.02,16127.75,294929,900,0
2022-11-23,16134.0,16683.25,16082.5,16481.1,275340,900,0
2022-11-24,16477.17,16790.75,16434.95,16540.5,134926,900,0
2022-11-25,16535.74,16618.25,16327.0,16496.25,109174,900,0
2022-11-26,16493.0,16683.25,16409.25,16504.75,61804,900,0
2022-11-27,16437.75,16583.5,16417.75,16575.25,70323,900,0
2022-11-28,16572.25,16579.75,15994.75,16204.5,117877,900,0
2022-11-29,16197.25,16534.75,16091.0,16450.0,123004,900,0
2022-11-30,16453.5,17144.5,16412.75,17080.89,170820,900,0
2022-12-01,17097.75,17300.41,16859.78,16930.5,125646,900,0
2022-12-02,16935.25,17100.25,16777.15,17008.68,103971,900,0
2022-12-03,16992.72,17152.25,16873.5,16938.0,69258,900,0
2022-12-04,16907.75,17152.75,16871.53,17106.75,85600,900,0
2022-12-05,17102.73,17431.67,16860.75,16959.75,160235,900,0
2022-12-06,16957.32,17096.25,16903.25,16990.0,117456,900,0
2022-12-07,16982.75,17133.0,16680.75,16822.44,143414,900,0
2022-12-08,16812.35,17299.75,16732.25,17187.75,124230,900,0
2022-12-09,17194.75,17342.5,17050.22,17108.5,101926,900,0
2022-12-10,17111.47,17216.04,17104.25,17131.5,15833,900,0
2022-12-11,17141.5,17265.5,17088.0,17111.5,42543,900,0
2022-12-12,17119.83,17216.5,16874.11,17170.75,79472,900,0
2022-12-13,17182.13,17983.5,17080.25,17759.95,147816,900,0
2022-12-14,17774.81,18375.75,17664.75,17838.08,169747,900,0
2022-12-15,17797.25,17868.75,17313.0,17394.2,144962,900,0
2022-12-16,17356.86,17533.75,16735.75,16817.3,157079,900,0
2022-12-17,16819.34,16840.74,16521.81,16693.75,109231,900,0
2022-12-18,16734.65,16790.35,16651.55,16739.55,31718,900,0
2022-12-19,16739.1,16864.8,16507.9,16585.25,48024,900,0
2022-12-20,16582.61,17054.25,16246.8,16879.61,155111,900,0
2022-12-21,16872.75,16923.74,16727.0,16767.32,192304,900,0
2022-12-22,16787.64,16864.95,16553.5,16785.75,183116,900,0
2022-12-23,16799.5,16934.25,16729.9,16808.25,122725,900,0
2022-12-24,16794.5,16853.83,16754.75,16817.35,19619,900,0
2022-12-25,16807.64,16845.45,16695.69,16827.25,15166,900,0
2022-12-26,16824.45,16915.15,16778.95,16824.19,14662,900,0
2022-12-27,16820.55,16960.05,16586.3,16674.35,26757,900,0
2022-12-28,16675.75,16772.65,16452.48,16516.15,33919,900,0
2022-12-29,16524.35,16653.75,16465.6,16595.25,27340,900,0
2022-12-30,16587.25,16648.45,16327.5,16581.85,29639,900,0
2022-12-31,16578.96,16635.45,16525.6,16541.15,13269,900,0
2023-01-01,16497.35,16614.25,16478.65,16594.55,12959,900,0
2023-01-02,16600.05,16759.45,16536.75,16724.55,20500,900,0
2023-01-03,16737.48,16769.05,16595.85,16658.35,26328,900,0
2023-01-04,16654.55,16980.05,16638.45,16810.15,39702,900,0
2023-01-05,16818.05,16868.25,16736.55,16834.75,21151,900,0
2023-01-06,16834.17,17025.1,16663.0,16913.95,28627,900,0
